air_strike_east_prop,air_strike_center_prop,air_strike_west_prop,air_strike_south_prop,armor_east_prop,armor_center_prop,armor_west_prop,armor_south_prop,special_east_prop,special_center_prop,special_west_prop,special_south_prop,cyber_east_prop,cyber_center_prop,cyber_west_prop,cyber_south_prop,artillery_east_prop,artillery_center_prop,artillery_west_prop,artillery_south_prop,Dates,east_act,center_act,west_act,south_act
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.25,0.25,0.3333333333333333,0.2222222222222222,0.0,0.4444444444444444,2022-02-24,0.2580999450851181,0.2396119348343401,0.18945634266886327,0.31283177741167856
0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4666666666666667,0.3,0.06666666666666667,0.16666666666666666,2022-02-25,0.3448654585392642,0.3978583196046129,0.14058209774848984,0.11669412410763316
0.15,0.4,0.3,0.15,0.2857142857142857,0.7142857142857143,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.3888888888888889,0.3333333333333333,0.1111111111111111,0.16666666666666666,2022-02-26,0.3410946366465313,0.3799011532125206,0.13413875160168404,0.14486545853926414
0.14285714285714285,0.38095238095238093,0.3333333333333333,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.3709677419354839,0.3225806451612903,0.0967741935483871,0.20967741935483872,2022-02-27,0.3272053892503486,0.3687951877355077,0.13036084391773395,0.17363857909640978
0.10714285714285714,0.42857142857142855,0.35714285714285715,0.10714285714285714,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.37037037037037035,0.35802469135802467,0.07407407407407407,0.19753086419753085,2022-02-28,0.3323439937937467,0.3851654274498866,0.12150135543875248,0.1609892233176143
0.10256410256410256,0.48717948717948717,0.28205128205128205,0.1282051282051282,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.6,0.4,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3235294117647059,0.4117647058823529,0.058823529411764705,0.20588235294117646,2022-03-01,0.3047283121418212,0.42556217350286546,0.09672059589687268,0.17298891845844072
0.12244897959183673,0.5102040816326531,0.22448979591836735,0.14285714285714285,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.7142857142857143,0.2857142857142857,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.358974358974359,0.38461538461538464,0.05128205128205128,0.20512820512820512,2022-03-02,0.342694151119663,0.40146341982068046,0.0806297596130498,0.17521266944660685
0.14285714285714285,0.48214285714285715,0.23214285714285715,0.14285714285714285,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.75,0.25,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3643410852713178,0.37209302325581395,0.046511627906976744,0.21705426356589147,2022-03-03,0.35322644695848787,0.3844836876042577,0.07872699032999406,0.18356287510726038
0.16666666666666666,0.45,0.25,0.13333333333333333,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.6666666666666666,0.2222222222222222,0.0,0.1111111111111111,0.75,0.0,0.0,0.25,0.3609022556390977,0.3684210526315789,0.05263157894736842,0.21804511278195488,2022-03-04,0.34804323974531215,0.3712581463643633,0.09009325019903361,0.19060536369129105
0.16393442622950818,0.4426229508196721,0.2459016393442623,0.14754098360655737,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.5,0.25,0.0,0.25,0.75,0.0,0.0,0.25,0.34507042253521125,0.39436619718309857,0.04929577464788732,0.2112676056338028,2022-03-05,0.3227164888189181,0.3903266664907675,0.0869879290424709,0.19996891564784353
0.1875,0.421875,0.234375,0.15625,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.46153846153846156,0.23076923076923078,0.0,0.3076923076923077,0.75,0.0,0.0,0.25,0.35333333333333333,0.4,0.04666666666666667,0.2,2022-03-06,0.3297595457809626,0.3887905237266852,0.08298231491188658,0.1984676155804657
0.19117647058823528,0.4117647058823529,0.22058823529411764,0.17647058823529413,0.15384615384615385,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.3888888888888889,0.3888888888888889,0.0,0.2222222222222222,0.75,0.0,0.0,0.25,0.3496932515337423,0.3987730061349693,0.04294478527607362,0.2085889570552147,2022-03-07,0.32127189480591417,0.40099276781030674,0.0768193769301976,0.20091596045358148
0.18055555555555555,0.4444444444444444,0.20833333333333334,0.16666666666666666,0.15384615384615385,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.45454545454545453,0.3181818181818182,0.0,0.22727272727272727,0.75,0.0,0.0,0.25,0.3567251461988304,0.391812865497076,0.04093567251461988,0.21052631578947367,2022-03-08,0.3296089610361699,0.3964327626861226,0.07311108739618234,0.20084718888152508
0.21794871794871795,0.4358974358974359,0.19230769230769232,0.15384615384615385,0.15384615384615385,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.4583333333333333,0.3333333333333333,0.0,0.20833333333333334,0.75,0.0,0.0,0.25,0.3621621621621622,0.40540540540540543,0.03783783783783784,0.1945945945945946,2022-03-09,0.34075055285928435,0.4055926411774847,0.06793233481866102,0.18572447114457
