date,longitude,latitude,a_rus_pred,t_airstrike_pred,t_armor_pred,t_raid_pred,t_cyber_pred,t_artillery_pred,t_milcas_pred,region
20220226,33.913,51.678,1.0,0.0,1.0,0.0,0.0,0.0,0.0,center
20220226,25.325,50.747,1.0,1.0,0.0,0.0,0.0,0.0,0.0,west
20220226,26.252,50.62,1.0,1.0,0.0,0.0,0.0,0.0,0.0,west
20220226,24.239,50.394,1.0,1.0,0.0,0.0,0.0,0.0,0.0,west
20220226,30.221,48.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220226,32.06,49.444,1.0,1.0,1.0,0.0,0.0,0.0,0.0,center
20220226,33.523,44.601,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220226,30.487,50.411,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220226,28.476,50.64,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220226,34.807,48.78,1.0,1.0,0.0,0.0,0.0,0.0,0.0,south
20220226,38.371,48.524,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220226,36.842,49.451,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220226,36.33,50.003,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220226,30.505,50.474,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220226,37.278,49.191,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220226,31.88,51.046,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220227,37.803,48.016,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220227,35.003,47.39,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220227,35.139,47.838,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220227,37.495,47.598,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220227,34.997,47.362,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220227,28.698,50.27,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220227,35.064,48.46,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220227,30.313,50.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220227,26.252,50.62,1.0,1.0,0.0,0.0,0.0,0.0,0.0,west
20220228,36.789,46.756,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220228,35.139,47.838,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220228,34.483,50.583,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220228,30.313,50.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220228,30.477,50.024,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220228,30.79,50.511,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220228,37.803,48.016,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220228,39.308,48.574,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220228,38.49,48.953,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220228,35.314,47.854,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220228,34.585,50.603,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220228,30.233,50.221,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220228,36.349,50.032,1.0,0.0,0.0,1.0,0.0,1.0,0.0,east
20220228,30.734,50.49,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220228,31.229,51.473,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220228,30.53,50.445,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220228,38.504,48.945,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220228,36.244,50.035,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220228,29.919,50.64,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220228,30.981,49.659,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220228,26.93,49.507,1.0,1.0,1.0,0.0,0.0,0.0,0.0,west
20220228,26.987,49.423,1.0,1.0,0.0,0.0,0.0,0.0,0.0,west
20220228,32.8,47.071,1.0,0.0,1.0,0.0,0.0,0.0,0.0,south
20220228,30.221,48.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220228,30.117,49.796,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220228,25.591,49.556,1.0,1.0,0.0,0.0,0.0,0.0,0.0,west
20220228,39.349,48.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220301,30.117,49.796,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220301,28.659,50.255,1.0,1.0,0.0,0.0,0.0,1.0,0.0,center
20220301,30.313,50.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220301,36.789,46.756,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220301,35.139,47.838,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220301,34.483,50.583,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220301,30.477,50.024,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220301,30.79,50.511,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220301,28.604,50.28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,center
20220301,28.605,50.279,1.0,1.0,0.0,0.0,0.0,1.0,0.0,center
20220301,30.454,50.472,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220301,30.454,50.471,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220301,36.144,49.952,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220301,36.144,49.952,1.0,1.0,0.0,0.0,0.0,0.0,0.0,east
20220301,30.32,50.177,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220301,36.237,50.005,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220301,35.314,47.854,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220301,34.585,50.603,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220301,30.233,50.221,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220301,36.349,50.032,1.0,0.0,0.0,1.0,0.0,1.0,0.0,east
20220301,30.734,50.49,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220301,34.89,50.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220301,29.933,50.644,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220301,28.836,45.351,1.0,1.0,0.0,0.0,1.0,0.0,0.0,south
20220301,35.046,48.465,1.0,1.0,0.0,0.0,0.0,0.0,0.0,south
20220301,34.656,47.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220301,35.767,47.179,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220301,26.252,50.62,1.0,1.0,0.0,0.0,0.0,0.0,0.0,west
20220301,30.755,51.522,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220302,37.278,49.191,1.0,0.0,0.0,1.0,0.0,1.0,0.0,east
20220302,30.505,50.474,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220302,30.477,50.024,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220302,28.636,50.947,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220302,38.49,48.953,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220302,37.265,49.217,1.0,0.0,0.0,1.0,0.0,1.0,0.0,east
20220302,36.24,50.008,1.0,1.0,0.0,0.0,0.0,0.0,0.0,east
20220302,36.222,49.967,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220302,30.013,50.635,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220302,30.491,50.441,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220302,36.237,50.043,1.0,1.0,0.0,0.0,0.0,0.0,0.0,east
20220302,28.66,50.987,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220302,36.235,50.044,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220302,38.48,48.944,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220302,35.767,47.179,1.0,1.0,0.0,0.0,0.0,1.0,0.0,south
20220302,35.139,47.838,1.0,1.0,0.0,0.0,0.0,1.0,0.0,south
20220302,34.483,50.583,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220302,34.551,49.59,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220302,32.06,49.444,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220302,38.42,48.913,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220302,38.367,48.631,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220302,35.373,46.842,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220302,37.747,48.134,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220303,36.231,49.992,1.0,1.0,0.0,0.0,0.0,0.0,0.0,east
20220303,36.33,50.003,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220303,37.541,47.097,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220303,34.89,50.3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,center
20220303,36.129,48.868,1.0,1.0,0.0,0.0,0.0,0.0,0.0,east
20220303,36.354,50.028,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220303,37.548,47.095,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220303,34.918,50.317,1.0,1.0,0.0,0.0,0.0,1.0,0.0,center
20220303,35.767,47.179,1.0,1.0,0.0,0.0,0.0,1.0,0.0,south
20220303,30.221,48.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220303,38.367,48.631,1.0,0.0,0.0,1.0,0.0,1.0,0.0,east
20220303,26.252,50.62,1.0,1.0,0.0,0.0,0.0,0.0,0.0,west
20220303,25.325,50.747,1.0,1.0,0.0,0.0,0.0,0.0,0.0,west
20220303,30.613,46.491,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220303,36.789,46.756,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220303,35.066,47.339,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220304,36.231,49.992,1.0,1.0,0.0,0.0,0.0,0.0,0.0,east
20220304,36.129,48.868,1.0,1.0,0.0,0.0,0.0,0.0,0.0,east
20220304,30.406,46.908,1.0,0.0,0.0,1.0,0.0,0.0,0.0,south
20220304,39.349,48.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,east
20220304,31.196,47.806,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220304,26.391,51.04,1.0,1.0,1.0,0.0,0.0,0.0,0.0,west
20220304,25.591,49.556,1.0,1.0,1.0,0.0,0.0,0.0,0.0,west
20220304,24.519,50.388,1.0,0.0,0.0,0.0,0.0,1.0,0.0,west
20220304,37.176,48.28,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220304,29.915,50.079,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220305,28.476,50.64,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220305,30.245,50.52,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220305,29.235,51.296,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220305,30.248,50.52,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220305,35.767,47.179,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220305,34.099,44.954,1.0,0.0,0.0,1.0,0.0,0.0,0.0,south
20220305,31.767,47.395,1.0,1.0,0.0,0.0,0.0,0.0,0.0,south
20220305,30.143,50.538,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220305,31.432,51.523,1.0,0.0,0.0,1.0,0.0,0.0,0.0,center
20220305,31.336,47.561,1.0,0.0,0.0,1.0,0.0,0.0,0.0,south
20220305,37.61,49.34,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220305,34.715,50.881,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220305,30.376,50.465,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220306,37.584,48.739,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220306,28.849,49.227,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220306,30.732,46.484,1.0,1.0,0.0,0.0,0.0,0.0,0.0,south
20220306,36.278,50.044,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220306,31.264,51.512,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220306,36.235,50.043,1.0,1.0,0.0,0.0,0.0,1.0,0.0,east
20220306,37.591,48.72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220306,28.612,49.24,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220306,28.62,49.235,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220306,31.196,47.806,1.0,0.0,0.0,1.0,0.0,0.0,0.0,south
20220306,38.897,49.282,1.0,1.0,0.0,0.0,0.0,0.0,0.0,east
20220307,30.732,46.484,1.0,1.0,0.0,0.0,0.0,0.0,0.0,south
20220307,37.737,48.15,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220307,32.615,46.64,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220307,30.768,46.621,1.0,1.0,0.0,0.0,0.0,0.0,0.0,south
20220307,31.15,50.704,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220307,32.017,46.838,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220307,37.786,48.126,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220307,33.369,46.752,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220307,30.213,50.553,1.0,0.0,0.0,1.0,0.0,0.0,0.0,center
20220307,30.092,45.865,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
